nm	SMARTS_Gueymard
369.5	1.27946
370	1.2934
370.5	1.166
371	1.18112
371.5	1.2249
372	1.14437
372.5	1.08758
373	1.04447
373.5	0.939
374	0.93442
374.5	0.925
375	0.985
375.5	1.08739
376	1.124
376.5	1.104
377	1.18135
377.5	1.31489
378	1.41438
378.5	1.37649
379	1.22603
379.5	1.098
380	1.152
380.5	1.231
381	1.249
381.5	1.12245
382	0.95426
382.5	0.82313
383	0.73603
383.5	0.71095
384	0.821
384.5	0.9862
385	1.08018
385.5	1.02961
386	0.99113
386.5	1.02789
387	1.0354
387.5	1.0186
388	1.00674
388.5	0.99743
389	1.081
389.5	1.19577
390	1.25193
390.5	1.26015
391	1.3322
391.5	1.349
392	1.24
392.5	1.03121
393	0.745
393.5	0.5912
394	0.76675
394.5	1.05568
395	1.245
395.5	1.32448
396	1.16258
396.5	0.8433
397	0.652
397.5	0.96142
398	1.301
398.5	1.53423
399	1.62452
399.5	1.67169
400	1.68854
401	1.752
402	1.814
403	1.74
404	1.763
405	1.715
406	1.666
407	1.63
408	1.699
409	1.809
410	1.537
411	1.715
412	1.816
413	1.73921
414	1.71442
415	1.7688
416	1.815
417	1.766
418	1.685
419	1.749
420	1.599
421	1.811
422	1.782
423	1.721
424	1.708
425	1.755
426	1.699
427	1.638
428	1.651
429	1.523
430	1.212
431	1.099
432	1.822
433	1.69129
434	1.56
435	1.709
436	1.868
437	1.9
438	1.663
439	1.601
440	1.83
441	1.799
442	1.922
443	1.949
444	1.89409
445	1.965
446	1.75571
447	1.99
448	2.014
449	2.001
450	2.069
451	2.142
452	2.04695
453	1.8864
454	2.018
455	2.001
456	2.063
457	2.077
458	2.032
459	2.012
460	1.99727
461	2.06391
462	2.078
463	2.084
464	2.01497
465	1.984
466	2.021
467	1.931
468	2.012
469	2.018
470	1.939
471	1.969
472	2.07
473	1.98822
474	2.012
475	2.08
476	2.012
477	2.025
478	2.086
479	2.04
480	2.068
481	2.061
482	2.06226
483	2.031
484	1.989
485	1.979
486	1.601
487	1.789
488	1.935
489	1.82238
490	2.032
491	1.949
492	1.856
493	1.983
494	1.93392
495	2.051
496	1.949
497	1.98
498	1.924
499	1.923
500	1.916
501	1.858
502	1.86
503	1.949
504	1.833
505	1.94721
506	2.025
507	1.93538
508	1.88
509	1.965
510	1.91
511	1.941
512	1.989
513	1.866
514	1.824
515	1.875
516	1.891
517	1.539
518	1.759
519	1.704
520	1.86
521	1.873
522	1.915
523	1.804
524	1.941
525	1.928
526	1.874
527	1.641
528	1.88
529	1.969
530	1.892
531	1.995
532	1.958
533	1.747
534	1.869
535	1.895
536	1.974
537	1.824
538	1.913
539	1.864
540	1.8
541	1.734
542	1.888
543	1.851
544	1.919
545	1.874
546	1.86091
547	1.882
548	1.826
549	1.88
550	1.863
551	1.859
552	1.896
553	1.842
554	1.878
555	1.889
556	1.857
557	1.812
558	1.853
559	1.755
560	1.786
561	1.89
562	1.801
563	1.871
564	1.836
565	1.849
566	1.75
567	1.868
568	1.859
569	1.831
570	1.828
571	1.762
572	1.872
573	1.881
574	1.873
575	1.834
576	1.818
577	1.862
578	1.799
579	1.816
580	1.834
581	1.833
582	1.852
583	1.863
584	1.854
585	1.836
586	1.792
587	1.838
588	1.821
589	1.624
590	1.72176
591	1.809
592	1.788
593	1.792
594	1.789
595	1.778
596	1.796
597	1.806
598	1.772
599	1.764
600	1.77
601	1.742
602	1.715
603	1.749
604	1.779
605	1.773
606	1.758
607	1.762
608	1.751
609	1.734
610	1.724
611	1.712
612	1.736
613	1.71
614	1.655
615	1.712
616	1.664
617	1.641
618	1.702
619	1.709
620	1.711
621	1.724
622	1.67843
623	1.682
624	1.667
625	1.644
626	1.64
627	1.693
628	1.693
629	1.687
630	1.665
631	1.659
632	1.59008
633	1.674
634	1.637
635	1.652
636	1.60934
637	1.661
638	1.665
639	1.653
640	1.613
641	1.61
642	1.609
643	1.625
644	1.614
645	1.627
646	1.591
647	1.606
648	1.602
649	1.551
650	1.526
651	1.613
652	1.591
653	1.598
654	1.575
655	1.523
656	1.3233
657	1.384
658	1.539
659	1.542
660	1.558
661	1.566
662	1.571
663	1.563
664	1.554
665	1.567
666	1.555
667	1.53545
668	1.53481
669	1.558
670	1.534
671	1.529
672	1.506
673	1.517
674	1.513
675	1.499
676	1.515
677	1.5
678	1.507
679	1.493
680	1.494
681	1.487
682	1.493
683	1.476
684	1.466
685	1.465
686	1.433
687	1.472
688	1.476
689	1.478
690	1.479
691	1.468
692	1.454
693	1.458
694	1.457
695	1.435
696	1.442
697	1.438
698	1.417
699	1.434
700	1.422
701	1.41313
702	1.39866
703	1.40954
704	1.41874
705	1.43303
706	1.41376
707	1.404
708	1.399
709	1.39
710	1.404
711	1.39701
712	1.38178
713	1.37019
714	1.38192
715	1.35019
716	1.36939
717	1.365
718	1.357
719	1.301
720	1.34872
721	1.348
722	1.36
723	1.35104
724	1.36068
725	1.3465
726	1.34287
727	1.3444
728	1.337
729	1.27958
730	1.33571
731	1.3104
732	1.33329
733	1.31082
734	1.339
735	1.32709
736	1.31
737	1.312
738	1.3
739	1.26464
740	1.28299
741	1.27073
742	1.26492
743	1.2892
744	1.29555
745	1.292
746	1.28918
747	1.289
748	1.28083
749	1.276
750	1.274
751	1.268
752	1.272
753	1.265
754	1.28091
755	1.27713
756	1.261
757	1.25984
758	1.268
759	1.25
760	1.259
761	1.24867
762	1.246
763	1.25434
764	1.25661
765	1.2452
766	1.2
767	1.212
768	1.231
769	1.21421
770	1.21456
771	1.20732
772	1.212
773	1.21
774	1.209
775	1.208
776	1.21023
777	1.20276
778	1.20143
779	1.20668
780	1.19301
781	1.18981
782	1.195
783	1.18962
784	1.181
785	1.18743
786	1.189
787	1.1877
788	1.18
789	1.18125
790	1.17042
791	1.16323
792	1.15
793	1.14488
794	1.126
795	1.12804
796	1.14266
797	1.158
798	1.15008
799	1.135
800	1.12482
801	1.14267
802	1.14221
803	1.12411
804	1.13418
805	1.10013
806	1.13095
807	1.12305
808	1.11623
809	1.09804
810	1.11
811	1.11429
812	1.116
813	1.118
814	1.11739
815	1.10907
816	1.10504
817	1.10832
818	1.08613
819	1.07384
820	1.074
821	1.076
822	1.056
823	1.076
824	1.07154
825	1.06994
826	1.07586
827	1.07623
828	1.07486
829	1.062
830	1.05627
831	1.056
832	1.055
833	1.03266
834	1.04591
835	1.04757
836	1.0597
837	1.05108
838	1.0549
839	1.04
840	1.05
841	1.052
842	1.02865
843	1.02714
844	1.014
845	1.036
846	1.037
847	1.006
848	1.011
849	1.005
850	0.91
851	0.998
852	0.99
853	0.981
854	0.869
855	0.927
856	0.99017
857	1.00555
858	1.007
859	1.005
860	1
861	0.999
862	1.006
863	1.012
864	0.99006
865	0.97354
866	0.858
867	0.925
868	0.969
869	0.959
870	0.977
871	0.96317
872	0.976
873	0.96614
874	0.94913
875	0.93562
876	0.962
877	0.965
878	0.962
879	0.94571
880	0.94856
881	0.91963
882	0.94408
883	0.9393
884	0.943515
885	0.95469
886	0.925585
887	0.923
888	0.94066
889	0.943665
890	0.942365
891	0.939275
892	0.932585
893	0.918
894	0.924
895	0.926
896	0.93425
897	0.926865
898	0.92378
899	0.91396
900	0.91378
901	0.89834
902	0.8772
903	0.92233
904	0.921
905	0.918
906	0.9078
907	0.9145
908	0.90143
909	0.88552
910	0.89496
911	0.8973
912	0.89016
913	0.9002
914	0.8982
915	0.8883
916	0.8947
917	0.8886
918	0.8881
919	0.8921
920	0.8854
921	0.8703
922	0.8628
923	0.83335
924	0.86957
925	0.87642
926	0.84561
927	0.87809
928	0.8711
929	0.86954
930	0.86866
931	0.87078
932	0.86514
933	0.86958
934	0.86709
935	0.85601
936	0.85222
937	0.85368
938	0.85936
939	0.85676
940	0.84
941	0.83153
942	0.80616
943	0.83814
944	0.81854
945	0.82441
946	0.83138
947	0.82809
948	0.83137
949	0.83303
950	0.82867
951	0.82019
952	0.82402
953	0.8205
954	0.812
955	0.769
956	0.802
957	0.80583
958	0.81147
959	0.81483
960	0.80627
961	0.79982
962	0.80173
963	0.79761
964	0.78808
965	0.79579
966	0.78598
967	0.79503
968	0.78526
969	0.78789
970	0.7914
971	0.78186
972	0.78785
973	0.78149
974	0.76882
975	0.77348
976	0.78054
977	0.77208
978	0.778
979	0.7665
980	0.77512
981	0.773
982	0.77879
983	0.77541
984	0.76881
985	0.77081
986	0.7662
987	0.76606
988	0.76368
989	0.755
990	0.75694
991	0.76161
992	0.75714
993	0.75639
994	0.75851
995	0.75392
996	0.75347
997	0.743
998	0.743
999	0.742
1000	0.7425486
1001	0.74741415
1002	0.7467674
1003	0.73835965
1004	0.73133495
1005	0.68365455
1006	0.71770345
1007	0.730927
1008	0.7333946
1009	0.72934495
1010	0.7305489
1011	0.72562365
1012	0.724957
1013	0.7196039
1014	0.7226486
1015	0.71061905
1016	0.7141911
1017	0.7065893
1018	0.7156637
1019	0.6960622
1020	0.70126605
1021	0.703
1022	0.693
1023	0.699
1024	0.70057
1025	0.69918
1026	0.69943
1027	0.69594
1028	0.69722
1029	0.69
1030	0.69208
1031	0.68985
1032	0.6896
1033	0.678
1034	0.68181
1035	0.684
1036	0.68431
1037	0.67731
1038	0.674
1039	0.679
1040	0.6744
1041	0.6749
1042	0.67516
1043	0.6686
1044	0.67199
1045	0.66846
1046	0.65131
1047	0.66155
1048	0.66781
1049	0.66491
1050	0.66117
1051	0.66182
1052	0.65848
1053	0.65698
1054	0.65474
1055	0.65753
1056	0.65629
1057	0.6554
1058	0.64937
1059	0.63046
1060	0.64831
1061	0.63387
1062	0.64651
1063	0.63669
1064	0.64621
1065	0.64533
1066	0.63139
1067	0.63517
1068	0.63591
1069	0.60084
1070	0.62165
1071	0.62821
1072	0.63131
1073	0.61796
1074	0.63063
1075	0.61768
1076	0.62468
1077	0.62426
1078	0.62531
1079	0.61203
1080	0.6225
1081	0.60726
1082	0.60249
1083	0.609
1084	0.61392
1085	0.61181
1086	0.6157
1087	0.59145
1088	0.60728
1089	0.60908
1090	0.60442
1091	0.60799
1092	0.59692
1093	0.59221
1094	0.56065
1095	0.58252
1096	0.586
1097	0.591
1098	0.587
1099	0.58216
1100	0.6
1101	0.599
1102	0.58202
1103	0.595
1104	0.593
1105	0.591
1106	0.59
1107	0.586
1108	0.5865
1109	0.5855
1110	0.587
1111	0.5825
1112	0.58342
1113	0.578
1114	0.584
1115	0.582
1116	0.575
1117	0.583
1118	0.57222
1119	0.57151
1120	0.5685
1121	0.572
1122	0.575
1123	0.574
1124	0.5725
1125	0.57012
1126	0.553
1127	0.56179
1128	0.56829
1129	0.56837
1130	0.56401
1131	0.568
1132	0.57
1133	0.56186
1134	0.56346
1135	0.5625
1136	0.56481
1137	0.55197
1138	0.544
1139	0.553
1140	0.55572552
1141	0.54303214
1142	0.55530804
1143	0.54960248
1144	0.5450102
1145	0.55001002
1146	0.55406554
1147	0.55407548
1148	0.55031816
1149	0.54788286
1150	0.54623282
1151	0.5453084
1152	0.54170018
1153	0.54308184
1154	0.54651114
1155	0.54730634
1156	0.54021912
1157	0.54369812
1158	0.54334028
1159	0.53547774
1160	0.52927518
1161	0.51898728
1162	0.53336052
1163	0.53707808
1164	0.52683988
1165	0.5348217
1166	0.52226748
1167	0.52984176
1168	0.53414578
1169	0.51640288
1170	0.52874836
1171	0.53073636
1172	0.53062702
1173	0.52685976
1174	0.52759532
1175	0.5185201
1176	0.51035936
1177	0.52296328
1178	0.5170291
1179	0.5150411
1180	0.5219904
1181	0.5184333
1182	0.5174334
1183	0.4882086
1184	0.5109786
1185	0.5160474
1186	0.5151861
1187	0.5145525
1188	0.5101173
1189	0.4840209
1190	0.5058306
1191	0.5135427
1192	0.5117508
1193	0.510642
1194	0.5112657
1195	0.5059197
1196	0.5056128
1197	0.5028606
1198	0.4921686
1199	0.4743387
1200	0.500049
1201	0.505791
1202	0.5070483
1203	0.4883571
1204	0.4869612
1205	0.5019498
1206	0.4986927
1207	0.501435
1208	0.4896243
1209	0.4663593
1210	0.4922478
1211	0.4790907
1212	0.490644
1213	0.4919013
1214	0.4893174
1215	0.4904361
1216	0.4887828
1217	0.4876443
1218	0.485991
1219	0.4823379
1220	0.4843278
1221	0.4834269
1222	0.4813281
1223	0.476
1224	0.4822389
1225	0.4792491
1226	0.4802589
1227	0.4684086
1228	0.4744278
1229	0.4772493
1230	0.4750218
1231	0.4742496
1232	0.468963
1233	0.4711806
1234	0.469458
1235	0.4664385
1236	0.4686264
1237	0.4679037
1238	0.467478
1239	0.4623498
1240	0.4596768
1241	0.4643892
1242	0.4616865
1243	0.4565484
1244	0.4553505
1245	0.456
1246	0.4587462
1247	0.4577463
1248	0.4607559
1249	0.4601322
1250	0.4585977
1251	0.4563801
1252	0.4519548
1253	0.4537071
1254	0.4535784
1255	0.4530438
1256	0.4519152
1257	0.4487967
1258	0.4511628
1259	0.4479651
1260	0.4501827
1261	0.4492521
1262	0.4425201
1263	0.4482522
1264	0.4419756
1265	0.4426686
1266	0.4461534
1267	0.4391244
1268	0.4359366
1269	0.4404213
1270	0.4421241
1271	0.4428963
1272	0.4413024
1273	0.4408371
1274	0.4380651
1275	0.4407183
1276	0.4419162
1277	0.4418766
1278	0.4407381
1279	0.4379463
1280	0.4354317
1281	0.4226706
1282	0.3758931
1283	0.4115925
1284	0.4266702
1285	0.4290858
1286	0.4287789
1287	0.4303629
1288	0.4268385
1289	0.4275513
1290	0.4185126
1291	0.4215915
1292	0.4227795
1293	0.4226112
1294	0.4161465
1295	0.4194432
1296	0.4197897
1297	0.4171761
1298	0.412632
1299	0.4170078
1300	0.4153743
1301	0.4140378
1302	0.4095531
1303	0.407682
1304	0.4063158
1305	0.4102758
1306	0.4103946
1307	0.4095828
1308	0.4087314
1309	0.409068
1310	0.4071375
1311	0.4061079
1312	0.4031478
1313	0.3908421
1314	0.4027122
1315	0.3916242
1316	0.3942081
1317	0.4011579
1318	0.3954654
1319	0.4009302
1320	0.3987522
1321	0.3954456
1322	0.3953763
1323	0.3950199
1324	0.3951585
1325	0.3936933
1326	0.3922875
1327	0.388773
1328	0.3906243
1329	0.3794967
1330	0.3854763
1331	0.3876543
1332	0.3784968
1333	0.386991
1334	0.3868425
1335	0.3856347
1336	0.3823083
1337	0.3828528
1338	0.3809421
1339	0.3756951
1340	0.3743883
1341	0.38167512
1342	0.38019808
1343	0.37976894
1344	0.37985876
1345	0.37952942
1346	0.37553742
1347	0.37760328
1348	0.37663522
1349	0.3754975
1350	0.3708069
1351	0.37166518
1352	0.37532784
1353	0.37401048
1354	0.37294262
1355	0.36827198
1356	0.368761
1357	0.36438976
1358	0.36996858
1359	0.36903046
1360	0.36463926
1361	0.37026798
1362	0.3693598
1363	0.36185484
1364	0.36683486
1365	0.36628596
1366	0.3659167
1367	0.3624237
1368	0.3655674
1369	0.35886084
1370	0.35912032
1371	0.35948958
1372	0.36313228
1373	0.36294266
1374	0.36291272
1375	0.35749358
1376	0.35350158
1377	0.35790276
1378	0.35651554
1379	0.36034786
1380	0.35682492
1381	0.35784288
1382	0.3527431
1383	0.35376106
1384	0.3559367
1385	0.35242374
1386	0.35492872
1387	0.35135588
1388	0.35277304
1389	0.35406046
1390	0.34736388
1391	0.35242374
1392	0.351795
1393	0.35007844
1394	0.3476034
1395	0.34754352
1396	0.34942974
1397	0.34931996
1398	0.34951956
1399	0.34886088
1400	0.33896072
1401	0.33929376
1402	0.34411488
1403	0.34013696
1404	0.34105952
1405	0.34011712
1406	0.3416448
1407	0.3408512
1408	0.34006752
1409	0.34117856
1410	0.34046432
1411	0.33766688
1412	0.3291952
1413	0.33289536
1414	0.33704192
1415	0.33707168
1416	0.33502816
1417	0.3374784
1418	0.3377264
1419	0.3339072
1420	0.33269696
1421	0.33594218
1422	0.32874562
1423	0.32883508
1424	0.3277218
1425	0.33256258
1426	0.32305994
1427	0.32745342
1428	0.3303559
1429	0.32346748
1430	0.32277168
1431	0.32421298
1432	0.33114116
1433	0.33067398
1434	0.3250877
1435	0.32731426
1436	0.32661846
1437	0.32786096
1438	0.32601212
1439	0.32855676
1440	0.31269252
1441	0.31694684
1442	0.3158435
1443	0.31780168
1444	0.31911376
1445	0.31929268
1446	0.32135026
1447	0.31760288
1448	0.3209626
1449	0.32025686
1450	0.31774204
1451	0.31366664
1452	0.31354736
1453	0.31538626
1454	0.31282174
1455	0.31209612
1456	0.30956142
1457	0.3124142
1458	0.31612182
1459	0.31746372
1460	0.31366664
1461	0.31308018
1462	0.3101777
1463	0.30822946
1464	0.30819964
1465	0.31157924
1466	0.30695714
1467	0.31321934
1468	0.30750384
1469	0.31200666
1470	0.31009818
1471	0.30413728
1472	0.30581376
1473	0.30551616
1474	0.2970544
1475	0.30349248
1476	0.30369088
1477	0.30250048
1478	0.30228224
1479	0.30461344
1480	0.30626016
1481	0.30178624
1482	0.30462336
1483	0.29812576
1484	0.3017168
1485	0.30607168
1486	0.30167712
1487	0.29989152
1488	0.26525088
1489	0.29909792
1490	0.30093312
1491	0.30174656
1492	0.29772896
1493	0.30200448
1494	0.30189536
1495	0.30074464
1496	0.2914
1497	0.29683616
1498	0.29945504
1499	0.29527872
1500	0.3007744
1501	0.29990144
1502	0.29743136
1503	0.26919904
1504	0.28318624
1505	0.27149056
1506	0.28367232
1507	0.29376096
1508	0.29027904
1509	0.28804704
1510	0.29393952
1511	0.29445536
1512	0.28845376
1513	0.28729312
1514	0.2850016
1515	0.28806688
1516	0.2871968
1517	0.28525655
1518	0.2897042
1519	0.2849481
1520	0.28786345
1521	0.2808288
1522	0.2803114
1523	0.28448045
1524	0.28459985
1525	0.2784607
1526	0.285963
1527	0.28296805
1528	0.28489835
1529	0.2828984
1530	0.26730675
1531	0.2827193
1532	0.28262975
1533	0.2804109
1534	0.27542595
1535	0.27753535
1536	0.28058005
1537	0.28095815
1538	0.27337625
1539	0.2780826
1540	0.2685704
1541	0.2729683
1542	0.2753563
1543	0.27498815
1544	0.27715725
1545	0.2776846
1546	0.27721695
1547	0.27353545
1548	0.2669784
1549	0.2726698
1550	0.2696052
1551	0.27074945
1552	0.2740031
1553	0.2708987
1554	0.2649486
1555	0.2671177
1556	0.2629188
1557	0.27013255
1558	0.268053
1559	0.26780425
1560	0.26545605
1561	0.2696752
1562	0.26832608
1563	0.26687776
1564	0.26306848
1565	0.26681824
1566	0.26262208
1567	0.2635248
1568	0.26041984
1569	0.26275104
1570	0.26067776
1571	0.26667936
1572	0.26693728
1573	0.26343552
1574	0.26220544
1575	0.24738496
1576	0.26031072
1577	0.23689952
1578	0.2572256
1579	0.26166976
1580	0.26381248
1581	0.26483424
1582	0.25412064
1583	0.25771168
1584	0.25448768
1585	0.26197728
1586	0.258168
1587	0.25492416
1588	0.25048
1589	0.23152288
1590	0.24154208
1591	0.24132384
1592	0.2528608
1593	0.25751328
1594	0.256432
1595	0.25765216
1596	0.24451808
1597	0.24853568
1598	0.25629312
1599	0.24976576
1600	0.25259296
1601	0.24493915
1602	0.2485709
1603	0.2490087
1604	0.2500236
1605	0.24702865
1606	0.2474764
1607	0.24543665
1608	0.24999375
1609	0.24858085
1610	0.23311855
1611	0.24078005
1612	0.2412477
1613	0.24581475
1614	0.2434964
1615	0.24434215
1616	0.23248175
1617	0.23644185
1618	0.2441531
1619	0.2422427
1620	0.23407375
1621	0.2338648
1622	0.23701895
1623	0.24165565
1624	0.2424019
1625	0.23745675
1626	0.2395761
1627	0.2403721
1628	0.2414865
1629	0.2411084
1630	0.2365513
1631	0.2393174
1632	0.2388398
1633	0.2358548
1634	0.23276035
1635	0.23734592
1636	0.23676064
1637	0.2274656
1638	0.22707872
1639	0.22204928
1640	0.22570976
1641	0.22393408
1642	0.22402336
1643	0.22879488
1644	0.22571968
1645	0.22512448
1646	0.22899328
1647	0.2291024
1648	0.22898336
1649	0.22353728
1650	0.22839808
1651	0.22369164
1652	0.22802424
1653	0.22532508
1654	0.2265402
1655	0.2239008
1656	0.22607208
1657	0.2256438
1658	0.22531512
1659	0.2222076
1660	0.22411992
1661	0.22543464
1662	0.22420956
1663	0.22264584
1664	0.22251636
1665	0.22137096
1666	0.2185326
1667	0.2201562
1668	0.2161665
1669	0.2180871
1670	0.2220768
1671	0.2209581
1672	0.2120976
1673	0.2160576
1674	0.2190672
1675	0.2162061
1676	0.2131866
1677	0.2154834
1678	0.2158497
1679	0.212949
1680	0.2064051
1681	0.1984752
1682	0.2034054
1683	0.2089296
1684	0.2119788
1685	0.2130579
1686	0.2102562
1687	0.2112264
1688	0.2108106
1689	0.2080485
1690	0.2084544
1691	0.21202848
1692	0.21210816
1693	0.21122172
1694	0.21068388
1695	0.2105544
1696	0.20961816
1697	0.20850264
1698	0.20879148
1699	0.20804448
1700	0.20538516
1702	0.2052
1705	0.20428
1710	0.19894
1715	0.20189
1720	0.19799
1725	0.19688
1730	0.19309
1735	0.182
1740	0.19001
1745	0.18624
1750	0.18518
1755	0.18509
1760	0.18243
1765	0.18143
1770	0.17969
1775	0.176
1780	0.17553
1785	0.17411
1790	0.17371
1795	0.17102
1800	0.168
1805	0.16884
1810	0.16859
1815	0.155
1820	0.16
1825	0.16257
1830	0.15921
1835	0.1576
1840	0.15552
1845	0.15288
1850	0.15337
1855	0.15126
1860	0.14933
1865	0.1471
1870	0.14565
1875	0.13231
1880	0.14667
1885	0.14573
1890	0.14041
1895	0.13842
1900	0.14041
1905	0.13904
1910	0.13654
1915	0.13611
1920	0.13463
1925	0.13447
1930	0.13145
1935	0.13243
1940	0.1295
1945	0.1195
1950	0.12627
1955	0.12833
1960	0.1261
1965	0.12291
1970	0.12375
1975	0.1215
1980	0.11968
1985	0.11902
1990	0.11977
1995	0.11684
2000	0.11673
2005	0.11501
2010	0.11512
2015	0.11399
2020	0.11192
2025	0.11176
2030	0.10969
2035	0.10915
2040	0.1072
2045	0.10756
2050	0.10592
2055	0.10471
2060	0.1032
2065	0.10182
2070	0.10095
2075	0.10095
2080	0.09933
2085	0.0983
2090	0.09754
2095	0.09599
2100	0.09624
2105	0.09575
2110	0.09463
2115	0.09385
2120	0.09314
2125	0.09218
2130	0.09238
2135	0.09112
2140	0.09105
2145	0.08994
2150	0.08971
2155	0.08888
2160	0.08789
2165	0.082
2170	0.08537
2175	0.08576
2180	0.08464
2185	0.08468
2190	0.08314
2195	0.08347
2200	0.08279
2205	0.0809
2210	0.08081
2215	0.08041
2220	0.07999
2225	0.07884
2230	0.0784
2235	0.07793
2240	0.07651
2245	0.07625
2250	0.07537
2255	0.07434
2260	0.07409
2265	0.07328
2270	0.0731
2275	0.07263
2280	0.07139
2285	0.07138
2290	0.07119
2295	0.0693
2300	0.06964
2305	0.0694
2310	0.0689
2315	0.06815
2320	0.06763
2325	0.06556
2330	0.06622
2335	0.06572
2340	0.06522
2345	0.0651
2350	0.06434
2355	0.0626
2360	0.06307
2365	0.06301
2370	0.06239
2375	0.06141
2380	0.06181
2385	0.05913
2390	0.06036
2395	0.06007
2400	0.05974
2405	0.05944
2410	0.05915
2415	0.05698
2420	0.05782
2425	0.05733
2430	0.05719
2435	0.05647
2440	0.05627
2445	0.05556
2450	0.05459
2455	0.05416
2460	0.05451
2465	0.0543
2470	0.0534
2475	0.05337
2480	0.0521
2485	0.05177
2490	0.05222
2495	0.04889
2500	0.05138
2505	0.05082
2510	0.0496
2515	0.04876
2520	0.04814
2525	0.04765
2530	0.0477
2535	0.04712
2540	0.04677
2545	0.04661
2550	0.04626
2555	0.04593
2560	0.0454
2565	0.04516
2570	0.04485
2575	0.04448
2580	0.0441
2585	0.04327
2590	0.04341
2595	0.04304
2600	0.04291
2605	0.0428
2610	0.0425
2615	0.04228
2620	0.0419
2625	0.04058
2630	0.04116
2635	0.04096
2640	0.04022
2645	0.04018
2650	0.03996
2655	0.03959
2660	0.03948
2665	0.03895
2670	0.0391
2675	0.03861
2680	0.03843
2685	0.03816
2690	0.03779
2695	0.03746
2700	0.03712
2705	0.03693
2710	0.03668
2715	0.03656
2720	0.03638
2725	0.03613
2730	0.03601
2735	0.03574
2740	0.03553
2745	0.03538
2750	0.03518
2755	0.03486
2760	0.03455
2765	0.0344
2770	0.03426
2775	0.03393
2780	0.03364
2785	0.03342
2790	0.0332
2795	0.03293
2800	0.03276
2805	0.03253
2810	0.03242
2815	0.03226
2820	0.03206
2825	0.03184
2830	0.0317
2835	0.03145
2840	0.03118
2845	0.03095
2850	0.03068
2855	0.03043
2860	0.03016
2865	0.02996
2870	0.0296
2875	0.0294
2880	0.0294
2885	0.02922
2890	0.02907
2895	0.02896
2900	0.02881
2905	0.02867
2910	0.0285
2915	0.02822
2920	0.02804
2925	0.02778
2930	0.02757
2935	0.02733
2940	0.02714
2945	0.02684
2950	0.02668
2955	0.02656
2960	0.02638
2965	0.02626
2970	0.02612
2975	0.02601
2980	0.0258
2985	0.02569
2990	0.02554
2995	0.0254
3000	0.02525
3005	0.02512
3010	0.02498
3015	0.02486
3020	0.02466
3025	0.02454
3030	0.02442
3035	0.02421
3040	0.02393
3045	0.02402
3050	0.02395
3055	0.02386
3060	0.02376
3065	0.02354
3070	0.02344
3075	0.02335
3080	0.02315
